16 | 19 | 17 | 27 | 25 | 19 | 16 | 16 | 13 | 14 | 13 | 

17 | 16 | 19 | 16 | 14 | 25 | 18 | 14 | 25 | 18 | 13 | 

14 | 19 | 15 | 13 | 25 | 18 | 13 | 14 | 15 | 27 | 16 | 

24 | 17 | 15 | 14 | 22 | 14 | 13 | 14 | 15 | 16 | 17 | 

16 | 19 | 26 | 15 | 17 | 26 | 13 | 14 | 15 | 15 | 17 | 

26 | 19 | 13 | 16 | 18 | 19 | 16 | 28 | 18 | 19 | 15 | 

17 | 16 | 22 | 15 | 14 | 23 | 18 | 13 | 13 | 15 | 16 | 

18 | 16 | 24 | 15 | 23 | 16 | 19 | 19 | 14 | 13 | 15 | 

15 | 17 | 28 | 15 | 18 | 19 | 22 | 18 | 13 | 16 | 14 | 

28 | 17 | 14 | 19 | 17 | 17 | 25 | 14 | 16 | 19 | 14 | 

19 | 17 | 23 | 18 | 18 | 13 | 16 | 19 | 13 | 26 | 19 | 

14 | 13 | 15 | 24 | 17 | 15 | 14 | 15 | 16 | 18 | 24 | 

19 | 15 | 17 | 22 | 13 | 18 | 26 | 18 | 14 | 19 | 13 | 

19 | 26 | 14 | 17 | 24 | 17 | 18 | 18 | 13 | 17 | 15 | 

26 | 13 | 16 | 18 | 19 | 13 | 25 | 17 | 15 | 19 | 17 | 

